"","all-Median","all-low-CI","all-high-CI","all-p-value"
"Verticillium alfalfae",0.091673612662751,0.052839392173587,0.13062470632467,4.03761202084279e-06
"Verticillium longisporum",0.0993572585852476,0.0680770215734676,0.130936708524436,4.5892049424376e-10
"Colletotrichum sublineola",-0.0262584671436864,-0.054051575546595,0.00160380627700491,0.0647710360286037
"Colletotrichum incanum",0.255264751109624,0.23086120234672,0.27979753695576,2.9636499143273e-92
"Colletotrichum nymphaeae",0.076836444956222,0.0439263225753078,0.109682398232979,4.74144742783023e-06
"Colletotrichum higginsianum",0.0274855008993756,0.00108396457996553,0.0539866135886725,0.041363792509333
"Colletotrichum gloeosporioides",0.0270629597913611,0.00180208731606292,0.0522296580121048,0.0357100591694995
"Colletotrichum simmondsii",0.352008882040802,0.314862700729306,0.389148735965463,2.69099220427421e-75
"Colletotrichum chlorophyti",0.0531016266489098,0.0242678450711589,0.0820847344100108,0.000300012471503553
"Colletotrichum tofieldiae",-0.24638302808342,-0.276775778506128,-0.215870018873064,7.26203289214512e-54
"Colletotrichum salicis",-0.00931094096262304,-0.0421595905432836,0.023626701309601,0.579630231058489
"Colletotrichum fioriniae",-0.158771889398276,-0.188057940553875,-0.129427750695821,4.76760740179617e-26
"Stachybotrys chlorohalonata",-0.0295982089131651,-0.0637351782911732,0.00446712678864631,0.0881860468073789
"Stachybotrys chartarum",-0.151507598193589,-0.179224696480199,-0.123828940998316,5.07778128974719e-27
"Acremonium chrysogenum",-0.00244845528219294,-0.0337219250124239,0.0288865637436515,0.877580214080115
"Ustilaginoidea virens",-0.342065155128389,-0.376159415452479,-0.307859520059128,1.38511257340891e-80
"Beauveria brongniartii",-0.137701309584173,-0.168683554993013,-0.106705352465521,5.4663998200565e-18
"Beauveria bassiana",-0.022072287678066,-0.0541024435703593,0.00993709141124835,0.176006491868572
"Cordyceps fumosorosea",0.329800044476282,0.295546045722043,0.364203241373394,1.08263125449571e-79
"Cordyceps militaris",-0.0498412865742314,-0.080914729155504,-0.0187166918019507,0.00163957205368871
"Cordyceps sp. RAO-2017",0.565249877583765,0.52941043416512,0.601237685352137,9.13495261884268e-200
"Cordyceps confragosa",-0.0392925168648197,-0.0631450635268639,-0.0154654141477555,0.00124822494319004
"Drechmeria coniospora",0.240370090890651,0.206469857646384,0.274208201877742,2.64616887450713e-43
"Hirsutella minnesotensis",0.0728735420557747,0.042777101195125,0.103036047604155,2.03574133952669e-06
"Tolypocladium ophioglossoides",0.543545071844845,0.507610997343684,0.57942791300364,1.11477337438839e-177
