"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobaculum",NA
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._HO","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobaculum","Hydrogenobaculum sp. HO"
"k__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum_sp._Y04AAS1","Bacteria","Aquificae","Aquificae","Aquificales","Aquificaceae","Hydrogenobaculum","Hydrogenobaculum sp. Y04AAS1"
"k__Bacteria|p__Thermotogae","Bacteria","Thermotogae",NA,NA,NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae","Bacteria","Thermotogae","Thermotogae",NA,NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales","Bacteria","Thermotogae","Thermotogae","Mesoaciditogales",NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae","Bacteria","Thermotogae","Thermotogae","Mesoaciditogales","Mesoaciditogaceae",NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae|g__Athalassotoga","Bacteria","Thermotogae","Thermotogae","Mesoaciditogales","Mesoaciditogaceae","Athalassotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae|g__Athalassotoga|s__Athalassotoga_saccharophila","Bacteria","Thermotogae","Thermotogae","Mesoaciditogales","Mesoaciditogaceae","Athalassotoga","Athalassotoga saccharophila"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales","Bacteria","Thermotogae","Thermotogae","Kosmotogales",NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae",NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Kosmotoga","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Kosmotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Kosmotoga|s__Kosmotoga_olearia","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Kosmotoga","Kosmotoga olearia"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Kosmotoga|s__Kosmotoga_pacifica","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Kosmotoga","Kosmotoga pacifica"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga_prima","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga","Mesotoga prima"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga_infera","Bacteria","Thermotogae","Thermotogae","Kosmotogales","Kosmotogaceae","Mesotoga","Mesotoga infera"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales","Bacteria","Thermotogae","Thermotogae","Petrotogales",NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae",NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Petrotoga","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Petrotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Petrotoga|s__Petrotoga_mobilis","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Petrotoga","Petrotoga mobilis"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Defluviitoga","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Defluviitoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Defluviitoga|s__Defluviitoga_tunisiensis","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Defluviitoga","Defluviitoga tunisiensis"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Marinitoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga_piezophila","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Marinitoga","Marinitoga piezophila"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga_sp._1137","Bacteria","Thermotogae","Thermotogae","Petrotogales","Petrotogaceae","Marinitoga","Marinitoga sp. 1137"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales","Bacteria","Thermotogae","Thermotogae","Thermotogales",NA,NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae",NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_elfii","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga","Pseudothermotoga elfii"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_lettingae","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga","Pseudothermotoga lettingae"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_hypogea","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga","Pseudothermotoga hypogea"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Pseudothermotoga|s__Pseudothermotoga_thermarum","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Pseudothermotoga","Pseudothermotoga thermarum"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_neapolitana","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga neapolitana"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_naphthophila","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga naphthophila"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_sp._2812B","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga sp. 2812B"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_sp._Cell2","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga sp. Cell2"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_petrophila","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga petrophila"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_sp._RQ7","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga sp. RQ7"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_maritima","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga maritima"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_sp._RQ2","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga sp. RQ2"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_caldifontis","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga caldifontis"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga|s__Thermotoga_profunda","Bacteria","Thermotogae","Thermotogae","Thermotogales","Thermotogaceae","Thermotoga","Thermotoga profunda"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae",NA,NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_islandicum","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium islandicum"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_changbaicum","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium changbaicum"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_nodosum","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium nodosum"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium_pennivorans","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Fervidobacterium","Fervidobacterium pennivorans"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho",NA
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_sp._1063","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho sp. 1063"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_sp._1070","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho sp. 1070"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_melanesiensis","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho melanesiensis"
"k__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho_africanus","Bacteria","Thermotogae","Thermotogae","Thermotogales","Fervidobacteriaceae","Thermosipho","Thermosipho africanus"
"k__Bacteria|p__Acidobacteria","Bacteria","Acidobacteria",NA,NA,NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Blastocatellia","Bacteria","Acidobacteria","Blastocatellia",NA,NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium","Bacteria","Acidobacteria","Blastocatellia",NA,NA,"Chloracidobacterium",NA
"k__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium|s__Chloracidobacterium_thermophilum","Bacteria","Acidobacteria","Blastocatellia",NA,NA,"Chloracidobacterium","Chloracidobacterium thermophilum"
"k__Bacteria|p__Acidobacteria|c__Vicinamibacteria","Bacteria","Acidobacteria","Vicinamibacteria",NA,NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae","Bacteria","Acidobacteria","Vicinamibacteria",NA,"Vicinamibacteraceae",NA,NA
"k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea","Bacteria","Acidobacteria","Vicinamibacteria",NA,"Vicinamibacteraceae","Luteitalea",NA
"k__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea|s__Luteitalea_pratensis","Bacteria","Acidobacteria","Vicinamibacteria",NA,"Vicinamibacteraceae","Luteitalea","Luteitalea pratensis"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia","Bacteria","Acidobacteria","Acidobacteriia",NA,NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales",NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Solibacteraceae",NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus_Solibacter","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Solibacteraceae","Candidatus Solibacter",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus_Solibacter|s__Candidatus_Solibacter_usitatus","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Solibacteraceae","Candidatus Solibacter","Candidatus Solibacter usitatus"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Bryobacteraceae",NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae|g__Paludibaculum","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Bryobacteraceae","Paludibaculum",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Bryobacteraceae|g__Paludibaculum|s__Paludibaculum_fermentans","Bacteria","Acidobacteria","Acidobacteriia","Bryobacterales","Bryobacteraceae","Paludibaculum","Paludibaculum fermentans"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales",NA,NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae",NA,NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium_capsulatum","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Acidobacterium","Acidobacterium capsulatum"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|s__Acidobacteriaceae_bacterium_SBC82","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae",NA,"Acidobacteriaceae bacterium SBC82"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus_Koribacter","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Candidatus Koribacter",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus_Koribacter|s__Candidatus_Koribacter_versatilis","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Candidatus Koribacter","Candidatus Koribacter versatilis"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Granulicella",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_sp._5B5","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Granulicella","Granulicella sp. 5B5"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_tundricola","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Granulicella","Granulicella tundricola"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella_mallensis","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Granulicella","Granulicella mallensis"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus",NA
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_saanensis","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus","Terriglobus saanensis"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_albidus","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus","Terriglobus albidus"
"k__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus_roseus","Bacteria","Acidobacteria","Acidobacteriia","Acidobacteriales","Acidobacteriaceae","Terriglobus","Terriglobus roseus"
"k__Bacteria|p__Synergistetes","Bacteria","Synergistetes",NA,NA,NA,NA,NA
"k__Bacteria|p__Synergistetes|c__Synergistia","Bacteria","Synergistetes","Synergistia",NA,NA,NA,NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales","Bacteria","Synergistetes","Synergistia","Synergistales",NA,NA,NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae",NA,NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermovirga",NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga|s__Thermovirga_lienii","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermovirga","Thermovirga lienii"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Aminobacterium",NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium|s__Aminobacterium_colombiense","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Aminobacterium","Aminobacterium colombiense"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Acetomicrobium",NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium_mobile","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Acetomicrobium","Acetomicrobium mobile"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermanaerovibrio",NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio_velox","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermanaerovibrio","Thermanaerovibrio velox"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio_acidaminovorans","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Thermanaerovibrio","Thermanaerovibrio acidaminovorans"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Aminomonas",NA
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas|s__Aminomonas_paucivorans","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Aminomonas","Aminomonas paucivorans"
"k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella","Bacteria","Synergistetes","Synergistia","Synergistales","Synergistaceae","Jonquetella",NA
