"","Cohort","Feature","Seed","AUC","MeanAUC","Kingdoms"
"331","2015_FengQ","Rhizophagus_clarus","2","51.63",55.3,"fungi"
"332","2015_FengQ","Syncephalastrum_racemosum","7","54.78",51.92,"fungi"
"333","2015_FengQ","Lichtheimia_corymbifera","9","42.32",53.22,"fungi"
"334","2015_FengQ","Lichtheimia_ramosa","5","46.08",51.55,"fungi"
"335","2015_FengQ","Phycomyces_blakesleeanus","2","47.1",47.95,"fungi"
"336","2015_FengQ","Hesseltinella_vesiculosa","2","51.35",49.13,"fungi"
"337","2015_FengQ","Absidia_glauca","1","52.37",53.16,"fungi"
"338","2015_FengQ","Absidia_repens","5","53.39",53.04,"fungi"
"339","2015_FengQ","Choanephora_cucurbitarum","1","41.46",49.65,"fungi"
"340","2015_FengQ","Mucor_ambiguus","6","49.18",51.53,"fungi"
"341","2015_FengQ","Mucor_circinelloides","1","60.99",50.3,"fungi"
